Any,Nom_Districte,Nom_Barri,Poblacio,Domicilis,Ocupacio_mitjana_(persones_ per_domicili),Preu
2019,Eixample,l'Antiga Esquerra de l'Eixample,43112,18257,2.38,1161.2
2019,Eixample,la Nova Esquerra de l'Eixample,58642,24801,2.36,1051.625
2019,Eixample,Sant Antoni,38566,16297,2.36,994.25
2019,Sants-Montjuïc,el Poble-sec,40409,15985,2.37,837.8
2019,Sants-Montjuïc,la Marina del Prat Vermell,1199,462,2.53,350.5
2019,Sants-Montjuïc,la Marina de Port,31087,11997,2.6,768.7
2019,Sants-Montjuïc,la Font de la Guatlla,10373,4279,2.59,865.525
2019,Sants-Montjuïc,Hostafrancs,16155,6679,2.42,830.8
2019,Sants-Montjuïc,la Bordeta,19443,7850,2.42,851.625
2019,Sants-Montjuïc,Sants - Badal,24474,10031,2.48,852.05
2019,Sants-Montjuïc,Sants,42310,17143,2.44,877.4
2019,Les Corts,les Corts,46599,19209,2.47,1096.3
2019,Les Corts,la Maternitat i Sant Ramon,23992,9718,2.43,1007.475
2019,Les Corts,Pedralbes,12000,4206,2.47,1863.175
2019,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",4727,1619,2.85,1200.15
2019,Sarrià-Sant Gervasi,Sarrià,25137,8876,2.92,1369.95
2019,Sarrià-Sant Gervasi,les Tres Torres,16671,5602,2.83,1652.05
2019,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,26108,9460,2.98,1303.75
2019,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,47928,18749,2.76,1396.575
2019,Sarrià-Sant Gervasi,el Putxet i el Farró,29875,12315,2.56,1085.7
2019,Gràcia,Vallcarca i els Penitents,15902,6555,2.43,969.275
2019,Gràcia,el Coll,7518,3130,2.43,800.425
2019,Gràcia,la Salut,13431,5453,2.4,915.85
2019,Gràcia,la Vila de Gràcia,50803,22845,2.46,962.95
2019,Gràcia,el Camp d'en Grassot i Gràcia Nova,35199,14953,2.22,982.375
2019,Horta-Guinardó,el Baix Guinardó,25990,10846,2.35,881.45
2019,Horta-Guinardó,Can Baró,9247,3886,2.4,768.525
2019,Horta-Guinardó,el Guinardó,37216,15466,2.38,819.4
2019,Horta-Guinardó,la Font d'en Fargues,9506,3746,2.41,892.9
2019,Horta-Guinardó,el Carmel,32175,12879,2.54,685.25
2019,Horta-Guinardó,la Teixonera,11789,4851,2.5,737.825
2019,Horta-Guinardó,Sant Genís dels Agudells,7394,2948,2.43,740.125
2019,Horta-Guinardó,Montbau,5185,2147,2.51,793.425
2019,Horta-Guinardó,la Vall d'Hebron,5803,2369,2.41,862.825
2019,Horta-Guinardó,la Clota,686,280,2.45,
2019,Horta-Guinardó,Horta,27482,10658,2.45,782.175
2019,Nou Barris,Vilapicina i la Torre Llobeta,25895,10520,2.58,781.55
2019,Nou Barris,Porta,26557,10258,2.46,751.025
2019,Nou Barris,el Turó de la Peira,15825,6242,2.59,697.1
2019,Nou Barris,Can Peguera,2247,935,2.54,
2019,Nou Barris,la Guineueta,15398,6210,2.4,744.55
2019,Nou Barris,Canyelles,6884,2810,2.48,746.3
2019,Nou Barris,les Roquetes,16250,5991,2.45,621.05
2019,Nou Barris,Verdun,12578,5094,2.71,662.825
2019,Nou Barris,la Prosperitat,26834,10770,2.47,684.975
2019,Nou Barris,la Trinitat Nova,7620,2924,2.49,607.95
2019,Nou Barris,Torre Baró,2931,976,2.61,
2019,Nou Barris,Ciutat Meridiana,10864,3712,3.0,560.175
2019,Nou Barris,Vallbona,1407,486,2.93,
2019,Sant Andreu,la Trinitat Vella,10337,3544,2.9,602.025
2019,Sant Andreu,Baró de Viver,2604,992,2.92,
2019,Sant Andreu,el Bon Pastor,13126,4490,2.63,683.175
2019,Sant Andreu,Sant Andreu,57961,23827,2.92,805.125
2019,Sant Andreu,la Sagrera,29400,11892,2.43,817.825
2019,Sant Andreu,el Congrés i els Indians,14557,5947,2.47,794.4
2019,Sant Andreu,Navas,22279,9063,2.45,853.4
2019,Sant Martí,el Camp de l'Arpa del Clot,39034,16419,2.46,856.75
2019,Sant Martí,el Clot,27172,10807,2.38,857.225
2019,Sant Martí,el Parc i la Llacuna del Poblenou,15713,6383,2.51,1012.45
