Any,Nom_Districte,Nom_Barri,Sexe,Emmigrants,Immigrants
2015,Les Corts,la Maternitat i Sant Ramon,Dones,453,714
2015,Les Corts,Pedralbes,Dones,193,350
2015,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Dones,90,121
2015,Sarrià-Sant Gervasi,Sarrià,Dones,368,608
2015,Sarrià-Sant Gervasi,les Tres Torres,Dones,245,396
2015,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dones,407,642
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Dones,721,1236
2015,Sarrià-Sant Gervasi,el Putxet i el Farró,Dones,429,780
2015,Gràcia,Vallcarca i els Penitents,Dones,201,351
2015,Gràcia,el Coll,Dones,108,195
2015,Gràcia,la Salut,Dones,204,286
2015,Gràcia,la Vila de Gràcia,Dones,931,1895
2015,Gràcia,el Camp d'en Grassot i Gràcia Nova,Dones,471,863
2015,Horta-Guinardó,el Baix Guinardó,Dones,394,618
2015,Horta-Guinardó,Can Baró,Dones,133,197
2015,Horta-Guinardó,el Guinardó,Dones,579,858
2015,Horta-Guinardó,la Font d'en Fargues,Dones,105,105
2015,Horta-Guinardó,el Carmel,Dones,507,601
2015,Horta-Guinardó,la Teixonera,Dones,159,215
2015,Horta-Guinardó,Sant Genís dels Agudells,Dones,123,136
2015,Horta-Guinardó,Montbau,Dones,60,110
2015,Horta-Guinardó,la Vall d'Hebron,Dones,53,85
2015,Horta-Guinardó,la Clota,Dones,9,8
2015,Horta-Guinardó,Horta,Dones,293,507
2015,Nou Barris,Vilapicina i la Torre Llobeta,Dones,344,507
2015,Nou Barris,Porta,Dones,312,494
2015,Nou Barris,el Turó de la Peira,Dones,261,378
2015,Nou Barris,Can Peguera,Dones,27,24
2015,Nou Barris,la Guineueta,Dones,196,232
2015,Nou Barris,Canyelles,Dones,89,85
2015,Nou Barris,les Roquetes,Dones,303,433
2015,Nou Barris,Verdun,Dones,206,316
2015,Nou Barris,la Prosperitat,Dones,393,564
2015,Nou Barris,la Trinitat Nova,Dones,136,191
2015,Nou Barris,Torre Baró,Dones,43,71
